,datetime,tweet_Id,Username,text,likes
0,2022-09-05 23:20:31+00:00,1566929299428372485,TOICitiesNews,"Karnataka: Audio clip of alleged abuse goes viral, Belagavi seer kills himself https://t.co/s1GamJZen2",1
1,2022-09-05 23:17:52+00:00,1566928632366260224,Shahapur_saari,"@Belagavi_infra @Smart_Belagavi @iamabhaypatil @BenakeAnil @HardeepSPuri @MoHUA_India No city infrastructure can handle these type of rains, we know what's happening in Bengaluru.",0
2,2022-09-05 23:10:51+00:00,1566926867046625280,Shahapur_saari,@Belagavi_infra @allaboutbelgaum Once the UG cable and modern transformers get installed this will be history.,1
3,2022-09-05 20:30:07+00:00,1566886417103470594,the_hindu,"Belagavi Tech Meet-up, an informal meeting of IT entrepreneurs and professionals hailing from #Belagavi on Saturday, seems to have rekindled hopes of developing the city into an IT hub.
https://t.co/Yu0UxtIHZT",40
4,2022-09-05 20:27:42+00:00,1566885808354709504,rahulchandrase,"L &amp; T Construction bagged contracts for its various businesses 
Rural Drinking Water &amp; Sanitation Division, Karnataka to construct drinking water supply facilities for 396 rural habitations in the districts of Dharwad and Belagavi from the Renukasagar Reservoir Navilutheertha dam",3
5,2022-09-05 18:59:18+00:00,1566863562920034304,DEBARUNSAHA9,"Republic World: Karnataka seer Basavasiddhalinga found dead in Mutt in Belagavi, allegedly by suicide.
https://t.co/4YINwUMimh

via @GoogleNews",0
6,2022-09-05 18:58:57+00:00,1566863473946263552,MSDevotee,@TheNameIsBalu Nandu Belagavi,0
7,2022-09-05 18:10:41+00:00,1566851324855320576,112Belagavicity,"ಪ್ರ.ಸಂ-546781 ದಿ.05/09/22 ಸ:2216 ಗೆ ಸುಳೇಭಾವಿ ಗ್ರಾಮದಿಂದ 112ಗೆ ಕರೆ ಮಾಡಿ, ಗಂಡ ಸಾರಾಯಿ ಕುಡಿದು ಬಂದು ಹೆಂಡತಿ ಜೊತೆ ಜಗಳ ಮಾಡುತ್ತಿರುವ ಕುರಿತು ತಿಳಿಸಿದ್ದು, ಸ್ಥಳಕ್ಕೆ ERV- 14 ಹೋಗಿ  ಗಂಡನಿಗೆ ತಿಳಿಹೇಳಿ ತಾಕೀತು ಮಾಡಿ ಸಮಸ್ಯೆ ಬಗೆಹರಿಸಿರುತ್ತಾರೆ.
@112Karnataka @COPBELAGAVI @DCP_LO_Belagavi https://t.co/yWvIPobcV1",1
8,2022-09-05 17:44:14+00:00,1566844670340399105,IXG_News,"@AAI_Official @aaiblgairport @MangalSAngadi @MoCA_GoI @PIB_India @MIB_India @AmritMahotsav @JM_Scindia @mygovindia @AAIRHQSR @PIBBengaluru Non of the development projects have taken off in time. FTO issue was raised as there were no commitment from the agencies. ILS is still happening for the last 3 yrs!!! Flights have reduced, no longer connection available suitably.Krishi UDAN? Cargo? #SaveIXG",1
9,2022-09-05 17:34:39+00:00,1566842256942067713,LocalviewIn,ಸಣ್ಣ ಸಣ್ಣ ಕ್ಷಣಗಳನ್ನು ಸಂಭ್ರಮಿಸಲು ರೂಢಿಸಿಕೊಳ್ಳಬೇಕು -ಚನ್ನರಾಜ ಹಟ್ಟಿಹೊಳಿ https://t.co/3yXkPTNt8H @Channaraj_H  #belagavi,0
10,2022-09-05 17:30:53+00:00,1566841311986335744,nikhil1n,@Belagavi_infra Kunda thind mattasht ubbi hontu,0
11,2022-09-05 17:30:33+00:00,1566841225952763905,VinothR00916793,"@Girish05659050 @Hubballi_Infra @Namma_HD @HubballiNRI @hublimandi @Hublirailusers @HubballiRailway @HubliCityeGroup We need one more weekly train from Belagavi-Rameswaram via UBL, KJM, BWT, SA,TPJ.",0
12,2022-09-05 17:19:30+00:00,1566838446106333189,AryanRajSinghs,"@allaboutbelgaum @Belagavi_infra @belagavi_news 
#leopardinbelagavi #Belagavi
FOR OUR DEAR LEOPARD, A SMALL TRIBUTE 😀😀 https://t.co/PDafskzXfb",1
13,2022-09-05 17:15:16+00:00,1566837379192606720,Belagavi3,@DineshDHFM_ Hahaha exactly...,0
14,2022-09-05 17:10:47+00:00,1566836253596995584,belagavi_news,@AryanRajSinghs @Belagavi_infra 😐🤷🏻‍♂️ https://t.co/t8L8eU1Tih,3
15,2022-09-05 17:07:26+00:00,1566835407089991680,BelagaviBasya,@dhruv_rathee ಸುಪರ್,0
16,2022-09-05 17:02:52+00:00,1566834259540987905,pksonwalkar,"My friends new Lodging &amp; Restaurant(Khyber) near Dombro, Bauxite road, Belagavi .Found food to be delicious and rooms to be good.
Contact Manjunath Shetty on 9606599177 if you need to go. @ Belgaum - Smart City https://t.co/l6L8hzNMnR",0
