,datetime,tweet_Id,Username,text,likes
0,2022-09-03 23:54:57+00:00,1566213189989285891,KanzaSiddique,"KING BABAR YA'LL👑🇵🇰 
#INDvsPAK 
#صدقے_جاؤں https://t.co/qOnZrhPQnI",1
1,2022-09-03 23:54:32+00:00,1566213082220703744,rupeecs1,"Another Game #INDvsPAK #PAKvIND 
#ViratKohli𓃵 #RohitSharma𓃵 #HardikPandya #RishabhPant 
Welcome to Rupee55 international 💎
Livechat https://t.co/NTkzf9DpF3
Website: https://t.co/7m0QzAQPd3 https://t.co/PTdHd9Xao3",1
2,2022-09-03 23:54:22+00:00,1566213041372467200,2Witwolf,@panhwarfatima1 #FloodsInPakistan2022 #Karachi #INDvsPAK,1
3,2022-09-03 23:53:08+00:00,1566212729198858242,PrateekGautam16,"Asia cup has now reached very interesting ""Super 4"" stage. Plus, another super Sunday set as India meet Pakistan again at Dubai International Stadium!
https://t.co/xksYBKm19T

#INDvsPAK #Kohli #AsiaCup2022 #ZIMvAUS #ENGvSA 
With @sports_caviar, @vishnuvardhan09",0
4,2022-09-03 23:48:34+00:00,1566211582119534598,shubhambagde00,Huge BLOW to Pakistan as THIS pacer gets injured ahead of IND vs PAK Super 4s clash | Cricket News https://t.co/fHOytvdw23,0
5,2022-09-03 23:45:19+00:00,1566210762087055361,MyIndiafirst,"Asia Cup, IND vs PAK: लगता है भारत के खिलाफ तीन मैचों की सर्वश्रेष्ठ सीरीज – रिजवान https://t.co/NgRfGTqE6j",0
6,2022-09-03 23:44:34+00:00,1566210572949065730,Hassank18684694,#AsiaCupT20 #AsiaCup2022 #Super4 #SuperFour #INDvsPAK @shoaib100mph @babarazam258 @imVkohli https://t.co/z855dO2WQO,1
7,2022-09-03 23:43:34+00:00,1566210322897289217,Gabeen719,"Tomorrow its a Big Game!!!

 Pakistan face Traditional Rival India in Asia Cup Super 4s.

 Thats  the Second match of 3 match T20I series...  🤩

Are u Ready for this high voltage Match??

#Atiii #pakvsindia #INDvsPAK #IndianCricketTeam #PakistanCricket #pakvsindia #IndiaVsPak https://t.co/1nJ6bEwv7d",1
8,2022-09-03 23:38:18+00:00,1566208997040214016,torank2011,"Very interested to see how KL gets on vs. Pakistan. A lot has been said about him being too slow, and admittedly his form in t20is hasn’t been great since 2021, but he’s surely more than capable of being the opener we need. #KLRahul #IndianCricketTeam #INDvsPAK",2
9,2022-09-03 23:37:36+00:00,1566208820208181248,AnasBha61378504,#INDvsPAK https://t.co/rXSczrkv8z,1
10,2022-09-03 23:34:55+00:00,1566208145134845952,Ju_no0n,"Koi Sharm? Koi Haya? 🤔

#FloodsInPakistan #AsiaCup2022 #INDvsPAK https://t.co/qzHDC0cuvS",0
11,2022-09-03 23:33:00+00:00,1566207663612248064,thenehaaggrawal,"Bas yahin aaj ka match haar gaye saalon tum🥳
#RohitSharma #INDvsPAK #AsiaCup https://t.co/Enj91y9vY4",4
12,2022-09-03 23:32:40+00:00,1566207578262355968,dhrxv,"It's #MUNARS DAYYYYY!

Also, #DutchGP. 

AND ALSO #INDvsPAK!

WHAT A CRAZY FUCKING SUNDAY! 

ASAFAGQTQGHHAHSQKTAGABWHAHAHAHAHAHA.",1
13,2022-09-03 23:25:59+00:00,1566205898397061120,82NotOut,"Jai shree raam 💪, lga do pakistan ki lnka 🔥 

#INDvsPAK #ViratKohli https://t.co/inVjEWPjGA",2
14,2022-09-03 23:25:01+00:00,1566205654473527297,itsparvezsagar,"IND vs PAK Asia Cup 2022: भारत-PAK की सुपर-4 में 'महाजंग' आज, एशिया कप के आंकड़ों में कौन किस पर भारी?... via @aajtak https://t.co/sZLnoRAC6M",0
15,2022-09-03 23:19:17+00:00,1566204213448916993,ToThePrincipal,@ICC @BCCI @SGanguly99 @JayShah @chetans1987 @ThakurArunS @VVSLaxman281 @sachin_rt @ImRo45 Is it possible to play with @akshar2026 &amp;  @deepak_chahar9 in today #INDvsPAK match? They are capable enough to ensure win  for #TeamIndia 🇮🇳. @surya_14kumar @DineshKarthik @hardikpandya7,0
16,2022-09-03 23:19:01+00:00,1566204144901292033,Iam_Shehroz,"دور حاضر کا مرزا قادیانی

#EngineerMuhammadAliMirza #pakvsindia #INDvsPAK #AsiaCup2022 #Qadiyani #Ahmedi #Rabwah https://t.co/42g4IiOWnc",0
17,2022-09-03 23:18:36+00:00,1566204040379342849,Jaiprak41732627,"IND VS PAK Asia Cup 2022: सुपर-4 में होगा ‘सुपर चैलेंज’, पिछले 8 साल से पाकिस्तान को भारत के खिलाफ जीत का इंतजार https://t.co/MbYlfGeX67",0
18,2022-09-03 23:17:52+00:00,1566203857327251457,Globaltimes16,"Kambohs — Agricultural farming Biradri. Kambohs had a notable presence in the aristocracy of The Mughal Empire.

#SLvAFG #PAKvHK #INDvsPAK #Punjab #punjabis https://t.co/IXOUgwfDyy",2
19,2022-09-03 23:17:50+00:00,1566203848192040962,Globaltimes16,"Dogars — Zamindars, historically known to be apt raiders &amp; for sporting shoulder-length long hair, wearing no Pag. 

Main clans of Dogars are: Mattar, Chinna, Tagra, Mahu &amp; Chokra.

#AsiaCupT20 #INDvsPAK2022 #INDvsPAK https://t.co/bVORa4xhnd",1
20,2022-09-03 23:13:36+00:00,1566202780787904514,sahibdeep_1,"Le Sunday to INDvsPAK match:

#pakvsindia #AsiaCup #INDvPAK #AsiaCup2022 #INDvsPAK https://t.co/sM4o4TjBML",1
